Comment;Negative;Neutral;Positive
Nikki was wrong. Americans should work til 100 💪💪💪;0.3801586;0.48763737;0.13220403
Whenever he wins the white house he will be in power not the elites thats why they are trying they best to cheat to keep him out of the white house;0.24343497;0.63259876;0.12396627
Ukraines lick it as a tad poll. speakers arrive.;0.35909334;0.58103806;0.059868645
He had every right to call her out because she seems to have a penchant for twisting the truth;0.5633036;0.41544032;0.021256091
"We shall keep our eyes on the ballot box no more rigging 
We all tagged Trump for president";0.044557374;0.66255826;0.29288432
Yeah but she could beat him !;0.078376204;0.44462812;0.47699568
E Jean Carroll Tells Rachel Maddow Trump Is ‘Like a Walrus Snorting’ After Her Court Win: ‘He’s Nothing’ | Vide;0.41333815;0.55400705;0.032654792
Every time Trump moves his hands he is lying (manipulation technique).;0.6853768;0.29175627;0.022866972
Trump is not a gamble, he is a gaurantee. We are rehiring the brightest  star quarterback the U.S Economy has ever known.;0.015919307;0.17622423;0.8078565
"It is terrifying that Donald Trump and his lawyers seriously believe that American presidents have the right to liquidate political rivals or sell military secrets to hostile powers with impunity?

During a hearing in an appeals court in Washington D.C. warned the Republican front-runner that chaos will ensue in the United States if the judges reject his request for full immunity from prosecution.";0.7961703;0.19301245;0.010817263
Nikki Haley knows Trump is a crook that's all he knows;0.6599744;0.3027212;0.03730437
Trump was only able to get 54% of the republican vote ,so yeah he won but not by much! 7 out of 10 Nikki Haley voters said they will never vote for trump and that’s republicans saying that,not democrats, and Joe Biden crushed the primary as a write in, so while donny has won in the primary and the caucus it’s not by a lot which is pretty pitiful and since he continues to attack any conservative voter who isn’t a loyal MAGA fascist he’s an incredibly weak candidate for the general election against Biden, and he will lose unless he cheats like in 2016 or tries another violent insurrection coup attempt.;0.8196448;0.16205761;0.018297669
"If we shall die, and democracy falls; we as a human race have failed. The biggest threat to the protection of the unalienable rights of every man, woman, and child is the thought of enabling a docile destruction.";0.8898165;0.10178146;0.008402071
Nikki the new queen of the Rinos;0.016850512;0.5360947;0.44705477
Aren't we sick of Trump ? Aren't we sick and tired of Donald Trump ???;0.85887384;0.129882;0.011244146
Shocking isn't it when someone, Nikki Haley, won't sit up and beg or roll over and play dead! Trump is so used that from his fans he can't understand why it isn't working now. Trump didn't win three times either!!! What I like about Nikki Haley is her positive attitude, she is NO VICTIM. Poor Trump, victim again!;0.8155645;0.15777771;0.026657697
So orange;0.39257032;0.44078058;0.16664916
Big baby's tantrum continues.  Take another bite Haley.;0.8341002;0.13258311;0.03331671
If Trump will win this election, it really means that he won last 2020 election, but got cheated on! It is the reflection.;0.8286531;0.15189464;0.019452225
You can't stop what's coming this time, unless of course you cheat again, in which case! you see what's happening in texas  atm, where they will not let you cut the wire. We'll that's just a tiny portion of people stopping you, imagine that on a massive scale...;0.7757674;0.2016459;0.022586701
President Trump is the best President America has ever had;0.005503609;0.013826054;0.98067033
why is he so orange? I like trump. but jeez, tone down the orange.;0.786202;0.18986315;0.023934832
How about you know about her brother we love you;0.038731664;0.33042017;0.63084817
"His managers wont let him debate. They know if Nikki just says, ""use your big boy words Donny"", he will forget his script.";0.7652924;0.21923433;0.0154732615
#PoliciesMatter: Policies obviously 🙄 matters as you can see if a President doesn’t have the right policies it can have a dramatic impact on the country. You see what Bidenomics is doing for America 🇺🇸 it’s making people poorer, Middle and Poor Class Americans Are suffering.;0.7892666;0.19500668;0.015726717
Trump will eventually drop out of the race. Leaving Haley the forerunner.;0.37382936;0.6036961;0.022474546
Trump a great leader;0.01157173;0.031108746;0.9573195
Cheers, NH. ❤ Congrats , here's a toast to yourself. You've won. It's hard and a lonely journey but we're here. Thank GOD, FIRST, AND FORMOST. YOU. FAMILY, THEN FREINDS, AND MOST IMPORTANTLY, TRUMP FOR HAVING THE COURAGE TO REMAIN ON THE JOURNEY. LETS START CLEAR ACHEIVABLE GOALS AND REMAIN STEADFAST ON THAT GOAL. LETS BE COURAGEOUS, AND FIXED ON THE GOAL. CHEER, HERES TO A LONG AND PROSPEROUS LIFE. GOD BLESS AMERICA, AND ITS PEOPLE. ❤;0.005143752;0.020367559;0.9744887
Just like you clearly lost the 2020 election;0.8484972;0.14096671;0.010536092
If she claims a win then the fix is already in.;0.19608253;0.70020086;0.10371659
Bless voters in  New Hampshire!  We all love ❤️ you, too. Thank all patriotic voters in each state. Pls go and vote! Be another number for DTrumps presidency. We really need integrity back in White House. Biden is so weak, he has no idea what is happening in his White House. He is not allowed in daily briefings. We cherish having a strong President. No more listening to political media. They are paid to be deceitful.  God bless and keep D Trump family and election team safe. Millions all over the world are praying for America.;0.011463537;0.04579991;0.9427365
Narcissistic personality disorder is a mental health condition in which people have an unreasonably high sense of their own importance. They need and seek too much attention and want people to admire them. People with this disorder may lack the ability to understand or care about the feelings of others. That's Trump.;0.83089095;0.15325324;0.01585579
"Usa is like and look as your leader  ,old , tired 
From Europe, tje america's Dreams is really really Finish

Take care😢😮";0.7973978;0.1839944;0.018607793
Go usa😂;0.15395023;0.65800214;0.18804766
Talk about the lost 500,000 Americans that took the snake venom, Trump.;0.8837207;0.10736425;0.008915006
I don't care what kind of job Joe Biden has done. It no way in would I would vote for Donald  Duck Trump . I wouldn't dare vote for any person that cause people to die behind a lie he cause on January 6th or a person that's talking about becoming a dictator.  JOE BIDEN 2024.;0.88445425;0.10198797;0.0135578085
#FailingAmerica: @POTUS Sleepy 😴 Joe is failing to secure our Borders, Inflation is still high, Failing The Next Generation when it comes to education, Crime is skyrocketing, Foreign Policy is a mess on his watch, Middle East conflict. America 🇺🇸 needs new leadership.;0.9429636;0.0497516;0.007284824
The first thing you need to do Trump if you win is RESIGN;0.48071492;0.44990095;0.06938411
But you didn’t win in court 😂;0.63030785;0.336346;0.03334617
"""Hopscotch"" Sinunu 😂😂😂";0.13373494;0.68550473;0.18076035
Get ready for January 6th part 2.;0.029887201;0.76628;0.20383283
Trump kicked ass at 71percent;0.5944072;0.26953068;0.1360621
Congratulations President Trump;0.0057864464;0.021014318;0.9731993
Why does he feel threatened by her?;0.7106199;0.28168687;0.007693212
TRUMP 2024 SAVE AMERICA NOW;0.030731075;0.26349863;0.7057703
"It is wrong that two branches of our government appear to be controlled by one sex offender under indictment for insurrection and theft of classified documents who is giving the orders to his cult followers to ""shut down"" the government for nine months.  How did a once strong nation come to this?  Trump won the NH primary, but if there is justice in the United States he will vanish before next November and be behind bars.";0.908838;0.08554176;0.0056202235
Uncle Tim riding shotgun;0.046813086;0.8324739;0.120713025
TRUMP ALL THE WAY!!!  🇺🇲👊❤;0.008063335;0.033759188;0.95817745
"TRUMP'S = HATRED & JEALOUSY = 2024 !!
Hatred has plagued man since we wore skins of fur
Beating our enemies with stick and stone.
History has proven what we refuse to learn
As the seeds of hate by dispute are sown.

It's a fact, hate has been caused by religion
Or by those of different pigment of skin.
It's also a fact it's mostly jealousy
Mixed with the stupidity of sin.

If hatred consumes you refuse it control
For only then can you begin to live.
We don't have to remain wicked and spiteful
We just have to be willing to forgive.

Our riches can certainly grow their own wings
Though it's love that keeps us happy not things.
When we become rich beyond our wildest dreams
That's when hate always pursues us it seems.

By Tom Zart!";0.75524336;0.22121017;0.02354652
USA! You go americans! Go get'em your smart, brave, corageous, supertolerant, accepting, culture loving, generous, wealthy, beautiful ❤️🤩 people, and don't forget....... Your the Home OF The Freeeeee!;0.004940999;0.017900934;0.97715807
#45 can recognize winning and loosing but did not recognize when he LOST.;0.78624195;0.19527693;0.018481134
So 47% of registered republicans in NH either voted against Trump or stayed home. Pretty lame showing. No wonder Nikki scares him.;0.79328537;0.19212686;0.014587788
Of course they infiltrated like commumist, because they are. Russia selling cheap oil to china, instead to europe and us, is the biggest thing biden did.;0.8147276;0.17086612;0.014406251
Nikki Haley videos blocks comments. What a shocker why….;0.84601265;0.1453297;0.0086577255
Nikki Haley is delusional. Hopefully she’ll take the hint when South Carolina votes for Trump!;0.9008088;0.08820464;0.010986541
Trump 2024;0.03136532;0.31237522;0.6562595
How do we know the vote wasn’t rigged?;0.35702884;0.61190903;0.031062132
That primary election was STOLEN from Haley;0.7247425;0.25417092;0.021086622
"特朗普当总统，世界才会和平。
看看拜登当总统这几年，世界秩序大乱，到处都是大战。
特朗普之前当总统，世界没有大战，他是唯一没有发动战争的美国总统，诺贝尔和平奖应该颁给他。
我敢打赌，只要特朗普当选总统，俄乌战争会结束，中东战争也会结束，世界会迎来和平，世界秩序会回到原来的轨道，而且特朗普比拜登更关注美国国内的发展。";0.10058909;0.79772127;0.10168967
Ppl are celebrating trump now ,especially his plan to send ppl back home,I think this is a blessing to the ppl that cross the boarder and immigrant, cause what Russia have plans for this country ,it will be worse than 9 11,so congrats mr trump,do God's work send them home,all of us home,u doing God's work;0.034688875;0.122386955;0.8429242
she lost you by a close margin trump...this is about usa not each other for the sake of good of all UNITE🙏;0.5747791;0.37019476;0.05502618
"😂 Take a vacation and enjoy FREEDOM you might not make it to the debates and be in jail for so many crimes commited 😢 violation to NOT SWEAR UNDER OATH TO SERVE AND PROTECT THIS NATION 😅 OUT OF YOUR OWN MOUTH THAT CAME OUT....ASKING FOR A LICENCE TO COMMIT CRIMES AND BE PARDON AS LONG AS IT WAS DURING THE PRESIDENCY 😅 
THE MOST RIDICULOUS MOTION EVER HEARD BY A JUDGE 😅
YOU CREATED INSURRECTION AND HERO POLICE OFFICERS DIED DUE TO YOUR SPEACH ASKING YOUR FOLLOWERS TO MARCH AND STORM IN ON THE CAPITAL.";0.8315768;0.15123685;0.017186312
“Tax my pay! Tax my pay! Tax my pay!”;0.2728485;0.47769377;0.24945779
"What an absolute toad Trump is, and that’s being nice.

Those of you who thought of backing Haley, you see and read what Trump thinks of you. Come over to Biden’s camp, all are welcome even if they don’t agree w/ some of the man’s policies. At least you won’t be spoken of in insulting terms day and night.";0.6966499;0.26944384;0.03390625
Voters wont elect a manic;0.5038787;0.446415;0.04970622
And Biden will lose as well.;0.8698414;0.11465163;0.015506908
Hey Nikki you're so fine, you're so fine you blow my mind, hey Nikki, hey Nikki! I don't know why Trump was complaining that Nikki was acting like she won when she really lost. He got a taste of his own medicine. Why bother to complain about her dress? The perfect revenge is to have his wife show up to support him in one of Trump's rallies and outclass her. I expect that if Nikki surprises all the pundits and becomes President, Trump will do his usual flip and  graciously thank Nikki for pardoning Trump for his felonies.;0.11433008;0.20587651;0.6797934
Trump let's goooo;0.032729175;0.26643628;0.7008345
Look at Haley closing the gap between her and Diaper Don the Con.;0.4609404;0.473657;0.06540259
honestly, i watched the guy behind Trump!;0.3704846;0.52618414;0.103331275
Preach love and emancipation but promote hate and intolerance and thou shalt be embraced by the blessed arms of our lord and savior Donald Trump and walk amongst His appointed through the golden gates of Mar A-Lago. Amen.;0.016273491;0.14118575;0.84254074
Well, to be fair, he didnt win Witherspoon 2016 or 2020,!,;0.44190115;0.5197738;0.03832507
What is happening to his face 😱😱😱;0.61865354;0.3339343;0.04741215
Not even a democrat or republican…or an American for that fact…just wanna see this monster debate;0.85508573;0.13088122;0.014033069
Don't look up.;0.18928653;0.69558525;0.11512819
"""I don't get too angry, I get even."" Savage Comeback 😆 MAGATrump2024";0.07391174;0.4294402;0.49664804
This is why i love Pres. Trump. He knows how to strip someone acting condescending..  Nothing's boring with Pres. Trump. Great people have peculiar personalities..;0.020709137;0.05416825;0.92512256
Trump, you must prepare yourself for your future loss.  Biden will be re-elected. You will lose and life will go on. You will not have a good year so get a lot of rest you're going to need it.;0.8926733;0.09290805;0.0144187
Hahah trump is the manmm🎉🎉🎉🎉🎉🎉🎉;0.0039599966;0.013345319;0.9826947
Trump 2024;0.03136532;0.31237522;0.6562595
"Nikki never had anything to stand on in the first place.
🎆Trump 🎆will always be number 1.🎆";0.4932901;0.4156147;0.09109527
Trump is good at roasting. What the United States needs is a leader who brings out the positive in people and connects people.;0.35782844;0.40425512;0.23791648
"70% of the registered Republicans voted for Trump in NH. Only 27% did for Haley.
She got 70% of the undeclared and most of those were Democrat voters who admitted they are Democrats and will Vote for Biden, just choose to try and get Nikki because they think she can be beat more easily. That tells you all you need to know.";0.35282883;0.6012461;0.045925055
Nikki didnt lose by much in New Hampshire and that is the fact;0.14188953;0.72377354;0.13433686
The next President USA 2024 D. TRUMP. Trust and confident... No doubt. He's the man standing on his decision will make USA future hope advance  and life more glitter.;0.0042110006;0.03616383;0.95962524
I recall Donny celebrating after losing to Biden;0.13201341;0.66668016;0.20130639
Way to go Nikki, right out of Trump's own playbook don't admit defeat. The primaries must have been rigged. Etc etc yada yada yada;0.7300489;0.21598282;0.053968266
RIP Nikki Haley;0.6444328;0.2912541;0.06431309
