Comment;Negative;Neutral;Positive;Compound
Nikki was wrong. Americans should work til 100 💪💪💪;0.193;0.807;0.0;-0.4767
Whenever he wins the white house he will be in power not the elites thats why they are trying they best to cheat to keep him out of the white house;0.077;0.72;0.203;0.7096
Ukraines lick it as a tad poll. speakers arrive.;0.0;1.0;0.0;0.0
He had every right to call her out because she seems to have a penchant for twisting the truth;0.0;0.887;0.113;0.3182
"We shall keep our eyes on the ballot box no more rigging 
We all tagged Trump for president";0.115;0.885;0.0;-0.296
Yeah but she could beat him !;0.0;0.76;0.24;0.2244
E Jean Carroll Tells Rachel Maddow Trump Is ‘Like a Walrus Snorting’ After Her Court Win: ‘He’s Nothing’ | Vide;0.0;0.833;0.167;0.5859
Every time Trump moves his hands he is lying (manipulation technique).;0.384;0.616;0.0;-0.6808
Trump is not a gamble, he is a gaurantee. We are rehiring the brightest  star quarterback the U.S Economy has ever known.;0.0;0.84;0.16;0.6124
"It is terrifying that Donald Trump and his lawyers seriously believe that American presidents have the right to liquidate political rivals or sell military secrets to hostile powers with impunity?

During a hearing in an appeals court in Washington D.C. warned the Republican front-runner that chaos will ensue in the United States if the judges reject his request for full immunity from prosecution.";0.254;0.71;0.036;-0.9423
Nikki Haley knows Trump is a crook that's all he knows;0.0;1.0;0.0;0.0
Trump was only able to get 54% of the republican vote ,so yeah he won but not by much! 7 out of 10 Nikki Haley voters said they will never vote for trump and that’s republicans saying that,not democrats, and Joe Biden crushed the primary as a write in, so while donny has won in the primary and the caucus it’s not by a lot which is pretty pitiful and since he continues to attack any conservative voter who isn’t a loyal MAGA fascist he’s an incredibly weak candidate for the general election against Biden, and he will lose unless he cheats like in 2016 or tries another violent insurrection coup attempt.;0.224;0.641;0.135;-0.948
"If we shall die, and democracy falls; we as a human race have failed. The biggest threat to the protection of the unalienable rights of every man, woman, and child is the thought of enabling a docile destruction.";0.296;0.704;0.0;-0.936
Nikki the new queen of the Rinos;0.0;1.0;0.0;0.0
Aren't we sick of Trump ? Aren't we sick and tired of Donald Trump ???;0.136;0.564;0.299;0.5368
Shocking isn't it when someone, Nikki Haley, won't sit up and beg or roll over and play dead! Trump is so used that from his fans he can't understand why it isn't working now. Trump didn't win three times either!!! What I like about Nikki Haley is her positive attitude, she is NO VICTIM. Poor Trump, victim again!;0.197;0.626;0.177;-0.3553
So orange;0.0;1.0;0.0;0.0
Big baby's tantrum continues.  Take another bite Haley.;0.286;0.714;0.0;-0.4215
If Trump will win this election, it really means that he won last 2020 election, but got cheated on! It is the reflection.;0.151;0.678;0.171;-0.2481
You can't stop what's coming this time, unless of course you cheat again, in which case! you see what's happening in texas  atm, where they will not let you cut the wire. We'll that's just a tiny portion of people stopping you, imagine that on a massive scale...;0.093;0.837;0.07;-0.2937
President Trump is the best President America has ever had;0.0;0.682;0.318;0.6369
why is he so orange? I like trump. but jeez, tone down the orange.;0.0;0.874;0.126;0.222
How about you know about her brother we love you;0.0;0.682;0.318;0.6369
"His managers wont let him debate. They know if Nikki just says, ""use your big boy words Donny"", he will forget his script.";0.079;0.921;0.0;-0.2263
#PoliciesMatter: Policies obviously 🙄 matters as you can see if a President doesn’t have the right policies it can have a dramatic impact on the country. You see what Bidenomics is doing for America 🇺🇸 it’s making people poorer, Middle and Poor Class Americans Are suffering.;0.159;0.821;0.02;-0.8225
Trump will eventually drop out of the race. Leaving Haley the forerunner.;0.16;0.84;0.0;-0.2732
Trump a great leader;0.0;0.423;0.577;0.6249
Cheers, NH. ❤ Congrats , here's a toast to yourself. You've won. It's hard and a lonely journey but we're here. Thank GOD, FIRST, AND FORMOST. YOU. FAMILY, THEN FREINDS, AND MOST IMPORTANTLY, TRUMP FOR HAVING THE COURAGE TO REMAIN ON THE JOURNEY. LETS START CLEAR ACHEIVABLE GOALS AND REMAIN STEADFAST ON THAT GOAL. LETS BE COURAGEOUS, AND FIXED ON THE GOAL. CHEER, HERES TO A LONG AND PROSPEROUS LIFE. GOD BLESS AMERICA, AND ITS PEOPLE. ❤;0.023;0.469;0.508;0.9969
Just like you clearly lost the 2020 election;0.184;0.4;0.416;0.4404
If she claims a win then the fix is already in.;0.0;0.725;0.275;0.5859
Bless voters in  New Hampshire!  We all love ❤️ you, too. Thank all patriotic voters in each state. Pls go and vote! Be another number for DTrumps presidency. We really need integrity back in White House. Biden is so weak, he has no idea what is happening in his White House. He is not allowed in daily briefings. We cherish having a strong President. No more listening to political media. They are paid to be deceitful.  God bless and keep D Trump family and election team safe. Millions all over the world are praying for America.;0.089;0.654;0.257;0.9566
Narcissistic personality disorder is a mental health condition in which people have an unreasonably high sense of their own importance. They need and seek too much attention and want people to admire them. People with this disorder may lack the ability to understand or care about the feelings of others. That's Trump.;0.126;0.682;0.192;0.5065
"Usa is like and look as your leader  ,old , tired 
From Europe, tje america's Dreams is really really Finish

Take care😢😮";0.159;0.611;0.23;0.3947
Go usa😂;0.178;0.467;0.355;0.4404
Talk about the lost 500,000 Americans that took the snake venom, Trump.;0.173;0.827;0.0;-0.3182
I don't care what kind of job Joe Biden has done. It no way in would I would vote for Donald  Duck Trump . I wouldn't dare vote for any person that cause people to die behind a lie he cause on January 6th or a person that's talking about becoming a dictator.  JOE BIDEN 2024.;0.141;0.859;0.0;-0.8284
#FailingAmerica: @POTUS Sleepy 😴 Joe is failing to secure our Borders, Inflation is still high, Failing The Next Generation when it comes to education, Crime is skyrocketing, Foreign Policy is a mess on his watch, Middle East conflict. America 🇺🇸 needs new leadership.;0.269;0.687;0.043;-0.91
The first thing you need to do Trump if you win is RESIGN;0.175;0.613;0.212;0.1697
But you didn’t win in court 😂;0.113;0.386;0.501;0.8765
"""Hopscotch"" Sinunu 😂😂😂";0.203;0.391;0.406;0.8271
Get ready for January 6th part 2.;0.0;0.706;0.294;0.3612
Trump kicked ass at 71percent;0.467;0.533;0.0;-0.5423
Congratulations President Trump;0.0;0.339;0.661;0.5994
Why does he feel threatened by her?;0.333;0.667;0.0;-0.4588
TRUMP 2024 SAVE AMERICA NOW;0.0;0.504;0.496;0.6037
"It is wrong that two branches of our government appear to be controlled by one sex offender under indictment for insurrection and theft of classified documents who is giving the orders to his cult followers to ""shut down"" the government for nine months.  How did a once strong nation come to this?  Trump won the NH primary, but if there is justice in the United States he will vanish before next November and be behind bars.";0.043;0.766;0.191;0.9212
Uncle Tim riding shotgun;0.0;1.0;0.0;0.0
TRUMP ALL THE WAY!!!  🇺🇲👊❤;0.0;0.612;0.388;0.7249
