Comment;Sentiment;Confidence Score
Nikki was wrong. Americans should work til 100 💪💪💪;negative;0.8407256007194519
Whenever he wins the white house he will be in power not the elites thats why they are trying they best to cheat to keep him out of the white house;positive;0.665181040763855
Ukraines lick it as a tad poll. speakers arrive.;positive;0.6118956804275513
He had every right to call her out because she seems to have a penchant for twisting the truth;negative;0.8150432705879211
"We shall keep our eyes on the ballot box no more rigging 
We all tagged Trump for president";positive;0.7224428653717041
Yeah but she could beat him !;positive;0.5630239248275757
E Jean Carroll Tells Rachel Maddow Trump Is ‘Like a Walrus Snorting’ After Her Court Win: ‘He’s Nothing’ | Vide;negative;0.6204984784126282
Every time Trump moves his hands he is lying (manipulation technique).;negative;0.9757574200630188
Trump is not a gamble, he is a gaurantee. We are rehiring the brightest  star quarterback the U.S Economy has ever known.;positive;0.8112198114395142
"It is terrifying that Donald Trump and his lawyers seriously believe that American presidents have the right to liquidate political rivals or sell military secrets to hostile powers with impunity?

During a hearing in an appeals court in Washington D.C. warned the Republican front-runner that chaos will ensue in the United States if the judges reject his request for full immunity from prosecution.";negative;0.6320376992225647
Nikki Haley knows Trump is a crook that's all he knows;positive;0.5058311820030212
Trump was only able to get 54% of the republican vote ,so yeah he won but not by much! 7 out of 10 Nikki Haley voters said they will never vote for trump and that’s republicans saying that,not democrats, and Joe Biden crushed the primary as a write in, so while donny has won in the primary and the caucus it’s not by a lot which is pretty pitiful and since he continues to attack any conservative voter who isn’t a loyal MAGA fascist he’s an incredibly weak candidate for the general election against Biden, and he will lose unless he cheats like in 2016 or tries another violent insurrection coup attempt.;negative;0.8830981850624084
"If we shall die, and democracy falls; we as a human race have failed. The biggest threat to the protection of the unalienable rights of every man, woman, and child is the thought of enabling a docile destruction.";negative;0.9193958044052124
Nikki the new queen of the Rinos;positive;0.8721432685852051
Aren't we sick of Trump ? Aren't we sick and tired of Donald Trump ???;negative;0.7864688634872437
Shocking isn't it when someone, Nikki Haley, won't sit up and beg or roll over and play dead! Trump is so used that from his fans he can't understand why it isn't working now. Trump didn't win three times either!!! What I like about Nikki Haley is her positive attitude, she is NO VICTIM. Poor Trump, victim again!;negative;0.8482540249824524
So orange;negative;0.6341207027435303
Big baby's tantrum continues.  Take another bite Haley.;positive;0.6298558115959167
If Trump will win this election, it really means that he won last 2020 election, but got cheated on! It is the reflection.;negative;0.8250725269317627
You can't stop what's coming this time, unless of course you cheat again, in which case! you see what's happening in texas  atm, where they will not let you cut the wire. We'll that's just a tiny portion of people stopping you, imagine that on a massive scale...;positive;0.6917176246643066
President Trump is the best President America has ever had;positive;0.9351131319999695
why is he so orange? I like trump. but jeez, tone down the orange.;negative;0.7996559739112854
How about you know about her brother we love you;positive;0.8341342806816101
"His managers wont let him debate. They know if Nikki just says, ""use your big boy words Donny"", he will forget his script.";negative;0.9421331882476807
#PoliciesMatter: Policies obviously 🙄 matters as you can see if a President doesn’t have the right policies it can have a dramatic impact on the country. You see what Bidenomics is doing for America 🇺🇸 it’s making people poorer, Middle and Poor Class Americans Are suffering.;negative;0.5346294641494751
Trump will eventually drop out of the race. Leaving Haley the forerunner.;negative;0.7384434342384338
Trump a great leader;positive;0.9056470394134521
Cheers, NH. ❤ Congrats , here's a toast to yourself. You've won. It's hard and a lonely journey but we're here. Thank GOD, FIRST, AND FORMOST. YOU. FAMILY, THEN FREINDS, AND MOST IMPORTANTLY, TRUMP FOR HAVING THE COURAGE TO REMAIN ON THE JOURNEY. LETS START CLEAR ACHEIVABLE GOALS AND REMAIN STEADFAST ON THAT GOAL. LETS BE COURAGEOUS, AND FIXED ON THE GOAL. CHEER, HERES TO A LONG AND PROSPEROUS LIFE. GOD BLESS AMERICA, AND ITS PEOPLE. ❤;positive;0.9625344276428223
Just like you clearly lost the 2020 election;negative;0.6815236806869507
If she claims a win then the fix is already in.;negative;0.78803551197052
Bless voters in  New Hampshire!  We all love ❤️ you, too. Thank all patriotic voters in each state. Pls go and vote! Be another number for DTrumps presidency. We really need integrity back in White House. Biden is so weak, he has no idea what is happening in his White House. He is not allowed in daily briefings. We cherish having a strong President. No more listening to political media. They are paid to be deceitful.  God bless and keep D Trump family and election team safe. Millions all over the world are praying for America.;negative;0.633012056350708
Narcissistic personality disorder is a mental health condition in which people have an unreasonably high sense of their own importance. They need and seek too much attention and want people to admire them. People with this disorder may lack the ability to understand or care about the feelings of others. That's Trump.;negative;0.9681352376937866
"Usa is like and look as your leader  ,old , tired 
From Europe, tje america's Dreams is really really Finish

Take care😢😮";positive;0.9572847485542297
Go usa😂;positive;0.5497082471847534
Talk about the lost 500,000 Americans that took the snake venom, Trump.;positive;0.6628127098083496
I don't care what kind of job Joe Biden has done. It no way in would I would vote for Donald  Duck Trump . I wouldn't dare vote for any person that cause people to die behind a lie he cause on January 6th or a person that's talking about becoming a dictator.  JOE BIDEN 2024.;negative;0.9754037857055664
